模块,内容,参考/备注
需求人,杨晓东,
核心卖点,"门徒抽卡（商业化核心）。目标链：抽卡前知道想抽谁 → 抽到知道为什么值钱 → 抽到后知道用在哪里",
吸睛逻辑/亮点,"钩子='抽不抽'的悬念（钻石攒了十连）；爽点=金光爆SSR的爆燃瞬间 + 强门徒登场；价值=面板/背景塑造'为什么值钱'；用途=上阵/经营/合体技展示'用在哪里'；公式=招募表演已验证（7月 Install D1 39.58%）+ 抽卡演出",
视频规格,"分辨率 720×1280｜视频时长 ~45s（可剪30s/15s版）",
口播要求,英文配音+英文字幕,
音效/特效,"抽卡金光/紫电/登场音效/战斗音效；BGM由悬念→爆燃→收束",参考门徒抽卡UI录屏
概述,"一句话梗概：主角攒了十连的钻石，站在招募台前按下——金光爆出 SSR 门徒'绯夜'。她不止美，是满编战队的核心：能打、能经营、能合体技。别人还在犹豫抽不抽，她已经带着绯夜统治街区。
剧情线：
- 开场：主角站在门徒招募台前，数着钻石犹豫（字幕：攒了十连，抽不抽？）
- 抽卡：十连动画，金光爆出 SSR'绯夜'（华丽登场=招募表演公式）
- 为什么值钱：稀有度标识/面板数据/人物背景（不只是一张卡）
- 用在哪里：上阵战斗→经营加成→合体技（用途三步展示）
- 养成承诺：还能升级、配武器，上限更高
- CTA",
角色形象定位,"绯夜 Himena：日式风格女性门徒，深色优雅和服+若隐若现的蛇纹刺青，冷艳自信（游戏立绘风格，严格按立绘物料）；主角：年轻黑帮新秀，休闲西装，下位视角衬托门徒气场；敌方/BOSS：黑帮打手群，可泛化设计。",
分镜一：招募台 + 犹豫 ｜ S0-S2（~8s）,
,"【制作】UE(招募界面录屏) + AE(钻石计数/屏幕文字动画)
【画面】
① 首帧游戏招募界面：主角站台前，钻石数字跳动，字幕条: 10 PULLS READY.
　 大字钩子: The one you want? She's in there. Probably.
② 手指悬停在抽卡按钮上，特写颤抖（制造'抽不抽'悬念）
③ 主角咬咬牙，按下——画面白光大爆
【AI生图提示词】手机游戏招募界面，主角站在神秘招募台前，屏幕上的钻石货币数字在跳动，按钮散发着紫色金色的光芒，气氛充满悬念和期待，二次元游戏UI风格，竖屏构图，不要任何文字。",门徒招募UI录屏
分镜二：十连抽卡 ｜ S3-S5（~10s）,
,"【制作】UE(抽卡动画录屏) + AE(金光粒子/慢动作)
【画面】
① 十连卡面快速翻动，普通卡一闪而过（制造紧张）
② 金光定格，SSR 剪影浮现，字幕条: S RARE — 绯夜 HIMENA
③ 屏幕震动，抽卡爆出（借鉴已验证招募表演的登场节奏）
【AI生图提示词】二次元抽卡游戏的金光爆发瞬间，一张SSR卡牌在耀眼的金色光芒中缓缓浮现，卡面上是剪影轮廓，周围是飞舞的金色粒子特效，屏幕震动感，戏剧化的金光渲染，游戏UI风格，不要任何文字。",门徒抽卡动画录屏
分镜三：SSR登场 · 为什么值钱 ｜ S6-S8（~10s）,
,"【制作】AI(绯夜立绘) + AE(稀有度框/面板弹窗动画)
【画面】
① 绯夜华丽登场（和服/黑帮元素角色，符合GTS黑帮题材），字幕条: HIMENA — SR. THE ACE.
② 稀有度标识+面板数据快闪（攻击/防御/技能），字幕条: TOP TIER STATS.
③ 人物背景一句（'旧蛇组的王牌，弃暗投明'）——让人知道这张卡的身份分量
【AI生图提示词】二次元游戏角色立绘，一位冷艳的日式风格黑帮女性门徒，身穿优雅深色和服，手臂和肩颈有若隐若现的蛇纹刺青，自信从容的站姿，SSR金色稀有度框围绕，戏剧化电影打光，精致人物细节，背景是暗色黑帮都市夜景霓虹，竖版构图，游戏卡面质感，不要任何文字。",首充门徒/日式情人立绘
分镜四：用途展示 · 用在哪里 ｜ S9-S11（~12s）,
,"【制作】UE(实机战斗/经营录屏) + AI(过场) + AE(技能字幕)
【画面】
① 上阵战斗：绯夜带队，合体技/大招演出，字幕条: SHE FIGHTS.
② 经营加成：绯夜派驻经营场所（酒吧/店铺），收益上升箭头，字幕条: SHE EARNS.
③ 养成：升级/武器界面，等级拉满，字幕条: SHE GROWS. — 目标：抽到后立刻知道用在哪里
【AI生图提示词】二次元黑帮题材战斗演出，一位和服女性门徒释放强力大招，能量光效和技能特效在周围爆发，身后是城市夜景，电影感战斗构图，动作张力十足，不要任何文字。",7月爽感战斗+经营素材
分镜五：结尾卡 + CTA ｜ S12-S13（~5s）,
,"【制作】AE(字幕动效+结尾卡)
【画面】
① 黑屏打字机字幕逐行: Pull for power. / She's waiting.
② 游戏Logo+招募/抽卡引导角标
【AI生图提示词】无",参考7月结尾卡
