模块,内容,参考/备注
需求人,杨晓东,
━━ 分镜① V-门徒收服 ━━,（放量）,━━ 分镜① V-门徒收服 ━━
核心卖点,黑帮题材承诺（浴血公式）+ 门徒收服（商业化钩子）,
v3判断,机制=悬念(独子被绑)+欲望(收服权力)+视觉冲击(火并)；付费=强(收服→PULL FOR MORE)；差异=浴血公式+情感钩子(贴题非换皮)；承诺=门徒收服真实系统,
概述(剧情线),汤米·卡索独子被秃鹫帮当街羞辱绑走→熄雪茄拨电话集结门徒→街头火并碾压对方→对方老大跪地，'跪下，或者加入'收服为门徒→黑屏CTA,
角色定位,汤米·卡索：45+意裔黑帮大佬，复古三件套+金表+雪茄，银灰鬓角；秃鹫帮老大：40+光头彪悍皮夹克；门徒群像：西装打手/机车党/神枪手三类,避开真人明星脸，AI原创
分镜一 开场+冲突 S0-S2(~9s),【强化点】前3秒立起'独子被绑'情感钩子。①首帧暗光酒吧，大字钩子 They took his son. ②汤米背身望窗外 ③秃鹫帮叫嚣信号弹划夜。制作=AI+AE(霓虹/字幕),参考浴血黑帮氛围
分镜二 集结门徒 S3-S5(~10s),①汤米熄雪茄掏电话 ONE CALL ②门徒快切登场(3-4名风格各异) ③门徒大军集结压迫感。制作=AI(群像)+AE,复用招募表演公式
分镜三 街头火并 S6-S9(~12s),①西装大军碾压秃鹫地盘枪火爆炸 ②汤米缓步入场不奔跑(大佬气场) ③霓虹招牌被夺 THE EAST SIDE IS OURS。制作=AI+UE可替换+AE光效,参考爽感战斗/浴血火并
分镜四 收服结局 S10-S12(~10s),①秃鹫老大按跪在地 ②汤米俯视停顿 KNEEL. OR JOIN. ③收服动画(招募UI) PULL FOR MORE。制作=AI+AE(收服光效/UI),参考门徒招募UI
分镜五 结尾卡 S13-S14(~4s),①黑屏打字机字幕 Run the city. / Recruit the family. ②Logo+商店/抽卡角标,参考7月结尾卡
,,
━━ 分镜② V-门徒抽卡 ━━,（放量）,━━ 分镜② V-门徒抽卡 ━━
核心卖点,门徒抽卡（商业化核心），目标链：抽卡前知道想抽谁→抽到知道为什么值钱→抽到后知道用在哪,
v3判断,机制=悬念(抽不抽)+欲望(抽卡赌博)；付费=极强(商业化核心)；差异=黑帮×抽卡+绯夜角色；承诺=抽卡真实核心玩法,
概述(剧情线),主角攒十连钻石站招募台前犹豫→按下金光爆SSR'绯夜'→面板数据+人物背景塑造'为什么值钱'→上阵/经营/合体技展示'用在哪'→养成承诺→CTA,
角色定位,绯夜Himena：日式女性门徒，深色和服+蛇纹刺青，冷艳(严格按立绘物料)；主角：年轻黑帮新秀休闲西装,首充门徒/日式情人
分镜一 招募台+犹豫 S0-S2(~8s),【强化点】前3秒立起'抽不抽'悬念。①招募界面钻石跳动 10 PULLS READY ②手指悬停特写颤抖 ③咬牙按下白光大爆。制作=UE(界面)+AE(数字动画),门徒招募UI录屏
分镜二 十连抽卡 S3-S5(~10s),①十连卡面快速翻动 ②金光定格SSR剪影 S RARE—绯夜 ③屏幕震动抽出。制作=UE(抽卡动画)+AE(金光粒子),门徒抽卡动画录屏
分镜三 为什么值钱 S6-S8(~10s),①绯夜华丽登场 HIMENA—SR THE ACE ②稀有度+面板数据快闪 TOP TIER STATS ③人物背景一句(旧蛇组王牌弃暗投明)。制作=AI(立绘)+AE(稀有度框/面板),首充门徒立绘
分镜四 用在哪 S9-S11(~12s),①上阵战斗大招 SHE FIGHTS ②经营加成收益上升 SHE EARNS ③养成升级武器拉满 SHE GROWS。制作=UE(实机)+AI(过场)+AE(字幕),爽感战斗+经营素材
分镜五 结尾卡 S12-S13(~5s),①黑屏打字机 Pull for power. / She's waiting. ②Logo+招募/抽卡角标,参考7月结尾卡
