报告开始日期 | 报告结束日期 | 广告组名称 | 花费 | 展示 | 点击 | CTR | CPC | cvr | CPM | 安装 | CPI | ctr*cvr | 频次 | 覆盖人数
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-黑帮披萨店-hxj-方.jpg | 62.65 | 5342 | 141 | 2.639461 | 0.444326 | 0.19858156 | 11.727817 | 28 | 2.2375 | 0.00524148 | 1.613897 | 3310
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-罪恶之城-hxj-方.jpg | 66.72 | 6659 | 153 | 2.297642 | 0.436078 | 0.19607843 | 10.019522 | 30 | 2.224 | 0.00450518 | 1.632108 | 4080
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-2026-6-16-GTS-鸡公大侠改-LL-竖.mp4 | 61.91 | 2304 | 113 | 4.904514 | 0.547876 | 0.17699115 | 26.87066 | 20 | 3.0955 | 0.00868056 | 1.206915 | 1909
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-2026-6-17-GTS-招募表演-whq-竖(AI).mp4 | 61.96 | 3482 | 109 | 3.130385 | 0.56844 | 0.13761468 | 17.794371 | 15 | 4.130667 | 0.00430787 | 1.206514 | 2886
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-20260616-GTS-模拟经营2-ZWY-lyy(ue).mp4 | 60.14 | 1953 | 82 | 4.198669 | 0.733415 | 0.13414634 | 30.793651 | 11 | 5.467273 | 0.00563236 | 1.275637 | 1531
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-20260616-GTS爽感战斗-ZWY修改(ue).mp4 | 61.63 | 2422 | 78 | 3.220479 | 0.790128 | 0.19230769 | 25.445912 | 15 | 4.108667 | 0.00619323 | 1.19428 | 2028
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-20260617-GTS-赌场博弈-LYY-竖(AE).mp4 | 54.94 | 2024 | 59 | 2.91502 | 0.931186 | 0.13559322 | 27.144269 | 8 | 6.8675 | 0.00395257 | 1.218543 | 1661
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-20260706-KOG-跟谁混-zwywxh-竖（AE）.mp4 | 62.75 | 3261 | 99 | 3.035879 | 0.633838 | 0.25252525 | 19.242564 | 25 | 2.51 | 0.00766636 | 1.314389 | 2481
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-20260706角色展示-zwy-竖（AI）.mp4 | 60.42 | 1684 | 91 | 5.4038 | 0.663956 | 0.12087912 | 35.87886 | 11 | 5.492727 | 0.00653207 | 1.461806 | 1152
2026-07-09 00:00:00 | 2026-07-09 00:00:00 | install-GTS-20270706-KOG-晋级失败被捕-竖.mp4 | 61.95 | 3720 | 110 | 2.956989 | 0.563182 | 0.30909091 | 16.653226 | 34 | 1.822059 | 0.00913978 | 1.273101 | 2922
