字段数 45 记录数 28 fids 45
0 | 2026-07-09T00:00:00.000-07:00 | V-浴血黑帮 | ['V视频'] | ['视频-黑帮入会/氛围'] | ['🟡 观察'] || ?0
1 | 2026-07-09T00:00:00.000-07:00 | V-招募表演 | ['V视频'] | ['视频-角色展示/招募'] | ['🟡 观察'] || ?1
2 | 2026-07-09T00:00:00.000-07:00 | V-晋级失败被捕 | ['V视频'] | ['视频-复仇逆袭'] | ['🟡 观察'] || ?2
3 | 2026-07-09T00:00:00.000-07:00 | V-鸡公大侠 | ['V视频'] | ['视频-战斗'] | ['🟡 观察'] || ?3
4 | 2026-07-09T00:00:00.000-07:00 | V-爽感战斗 | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?4
5 | 2026-07-09T00:00:00.000-07:00 | V-模拟经营(原版) | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?5
6 | 2026-07-09T00:00:00.000-07:00 | V-特殊设备视角 | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?6
7 | 2026-07-09T00:00:00.000-07:00 | P-炸鸡店 | ['P图片'] | ['图片-幽默经营'] | ['🟡 观察'] || ?7
8 | 2026-07-09T00:00:00.000-07:00 | P-披萨店 | ['P图片'] | ['图片-幽默经营'] | ['🟡 观察'] || ?8
9 | 2026-07-09T00:00:00.000-07:00 | P-美漫分镜 | ['P图片'] | ['图片-美漫分镜'] | ['🟡 观察'] || ?9
10 | 2026-07-10T00:00:00.000-07:00 | V-浴血黑帮 | ['V视频'] | ['视频-黑帮入会/氛围'] | ['🟡 观察'] || ?10
11 | 2026-07-10T00:00:00.000-07:00 | V-招募表演 | ['V视频'] | ['视频-角色展示/招募'] | ['🟡 观察'] || ?11
12 | 2026-07-10T00:00:00.000-07:00 | V-晋级失败被捕 | ['V视频'] | ['视频-复仇逆袭'] | ['🟡 观察'] || ?12
13 | 2026-07-10T00:00:00.000-07:00 | V-鸡公大侠 | ['V视频'] | ['视频-战斗'] | ['🟡 观察'] || ?13
14 | 2026-07-10T00:00:00.000-07:00 | V-爽感战斗 | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?14
15 | 2026-07-10T00:00:00.000-07:00 | V-模拟经营(原版) | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?15
16 | 2026-07-10T00:00:00.000-07:00 | V-特殊设备视角 | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?16
17 | 2026-07-10T00:00:00.000-07:00 | P-炸鸡店 | ['P图片'] | ['图片-幽默经营'] | ['🟡 观察'] || ?17
18 | 2026-07-10T00:00:00.000-07:00 | P-披萨店 | ['P图片'] | ['图片-幽默经营'] | ['🟡 观察'] || ?18
19 | 2026-07-10T00:00:00.000-07:00 | P-美漫分镜 | ['P图片'] | ['图片-美漫分镜'] | ['🟡 观察'] || ?19
20 | 2026-07-11T00:00:00.000-07:00 | V-浴血黑帮 | ['V视频'] | ['视频-黑帮入会/氛围'] | ['🟡 观察'] || ?20
21 | 2026-07-11T00:00:00.000-07:00 | V-招募表演 | ['V视频'] | ['视频-角色展示/招募'] | ['🟡 观察'] || ?21
22 | 2026-07-11T00:00:00.000-07:00 | V-晋级失败被捕 | ['V视频'] | ['视频-复仇逆袭'] | ['🟡 观察'] || ?22
23 | 2026-07-11T00:00:00.000-07:00 | V-鸡公大侠 | ['V视频'] | ['视频-战斗'] | ['🟡 观察'] || ?23
24 | 2026-07-11T00:00:00.000-07:00 | V-爽感战斗 | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?24
25 | 2026-07-11T00:00:00.000-07:00 | V-模拟经营(原版) | ['V视频'] | ['清洁复测'] | ['🟡 观察'] || ?25
26 | 2026-07-11T00:00:00.000-07:00 | P-炸鸡店 | ['P图片'] | ['图片-幽默经营'] | ['🟡 观察'] || ?26
27 | 2026-07-11T00:00:00.000-07:00 | P-美漫分镜 | ['P图片'] | ['图片-美漫分镜'] | ['🟡 观察'] || ?27
